q_inverse_angstroms,debye,propo{e=0.380}_XyloseIsomerase,propo{e=0.380}_XyloseIsomerase_relDiffDebye,propo{e=0.390}_XyloseIsomerase,propo{e=0.390}_XyloseIsomerase_relDiffDebye,propo{e=0.400}_XyloseIsomerase,propo{e=0.400}_XyloseIsomerase_relDiffDebye,propo{e=0.410}_XyloseIsomerase,propo{e=0.410}_XyloseIsomerase_relDiffDebye,propo{e=0.420}_XyloseIsomerase,propo{e=0.420}_XyloseIsomerase_relDiffDebye,propo{e=0.430}_XyloseIsomerase,propo{e=0.430}_XyloseIsomerase_relDiffDebye,propo{e=0.440}_XyloseIsomerase,propo{e=0.440}_XyloseIsomerase_relDiffDebye,propo{e=0.450}_XyloseIsomerase,propo{e=0.450}_XyloseIsomerase_relDiffDebye,strat{s=0.15}_XyloseIsomerase,strat{s=0.15}_XyloseIsomerase_relDiffDebye,strat{s=0.20}_XyloseIsomerase,strat{s=0.20}_XyloseIsomerase_relDiffDebye,strat{s=0.25}_XyloseIsomerase,strat{s=0.25}_XyloseIsomerase_relDiffDebye,strat{s=0.30}_XyloseIsomerase,strat{s=0.30}_XyloseIsomerase_relDiffDebye,strat{s=0.35}_XyloseIsomerase,strat{s=0.35}_XyloseIsomerase_relDiffDebye,strat{s=0.40}_XyloseIsomerase,strat{s=0.40}_XyloseIsomerase_relDiffDebye,strat{s=0.45}_XyloseIsomerase,strat{s=0.45}_XyloseIsomerase_relDiffDebye,strat{s=0.50}_XyloseIsomerase,strat{s=0.50}_XyloseIsomerase_relDiffDebye
0.2,0.415513,0.31137,25.063716418018217,0.312496,24.792726100025757,0.313762,24.488042492052,0.31526,24.12752428925209,0.316858,23.742939450751248,0.318599,23.32393932319807,0.320469,22.873893235590707,0.322452,22.396651849641287,0.562738,35.43210441069231,0.531993,28.03281726444179,0.553472,33.20208994664425,0.508898,22.474627749312283,0.588701,41.68052503772445,0.477822,14.995680038891685,0.480918,15.740783080192433,0.499896,20.308149203514684
0.22,0.322119,0.278661,13.49128738137148,0.280629,12.880333044620148,0.282675,12.24516405427807,0.284952,11.538282435994153,0.287267,10.819603935191651,0.289695,10.065845231110245,0.292219,9.28228387645559,0.294826,8.472955646826177,0.433872,34.69307926573719,0.388804,20.701976598710413,0.394236,22.388309910312646,0.408959,26.95898099770583,0.381036,18.290445456492787,0.364656,13.205368202434503,0.37116,15.224497778771202,0.375245,16.49266264951773
0.24,0.390519,0.302659,22.498265129225466,0.30401,22.152315252266856,0.305483,21.775124897892294,0.307189,21.338270353043004,0.308978,20.880162040771392,0.310902,20.387484347752604,0.312946,19.86407831629191,0.315095,19.31378498869453,0.493143,26.27887503552964,0.455215,16.566671531986913,0.435357,11.481643658823256,0.443064,13.455171195255547,0.36863,5.605105001293149,0.412806,5.707020657125518,0.433236,10.93852027686233,0.414628,6.173579262468661
0.26,0.42622,0.315112,26.06822767584815,0.316142,25.826568438834407,0.317319,25.550419970907036,0.318727,25.220074140115432,0.320243,24.864389282530148,0.321906,24.474215194031242,0.323701,24.053071183895636,0.325613,23.60447656140022,0.556606,30.591243958519087,0.517403,21.393411853033637,0.490167,15.003284688658447,0.457131,7.252357937215528,0.388001,8.96696541692084,0.450557,5.709961991459809,0.472955,10.964994603725781,0.436805,2.483459246398576
0.28,0.38133,0.299049,21.577373928093774,0.300492,21.198961529384004,0.302052,20.789867044292347,0.303843,20.32019510660059,0.305711,19.83033068470878,0.307711,19.30585057561692,0.309828,18.750688380143185,0.312046,18.16903993916031,0.543334,42.483937796659056,0.502902,31.881047911257955,0.462333,21.242231138384074,0.416586,9.245535363071358,0.36566,4.109301654734749,0.415803,9.040201400361884,0.430927,13.006319985314557,0.387583,1.639787061075711
0.3,0.293403,0.267886,8.696911756185182,0.270131,7.931752572400423,0.272433,7.147166184394857,0.274967,6.283507666929107,0.277519,5.4137142428673215,0.280172,4.509497176238842,0.282913,3.5752872329185448,0.285725,2.6168784913583085,0.457224,55.8348074150571,0.427436,45.68221865488763,0.366784,25.01031005136279,0.342203,16.63241343817205,0.302072,2.9546391822851104,0.327042,11.4651179435793,0.34221,16.63479923518164,0.299561,2.098819712136548
0.32,0.207215,0.237688,14.705981709818303,0.240711,16.16485293053109,0.243733,17.62324156069782,0.246986,19.193108607002387,0.2502,20.74415462201094,0.253487,22.33042974688126,0.256832,23.944695123422527,0.26022,25.579711893444006,0.345848,66.90297517071639,0.331647,60.04970682624327,0.267632,29.156673020775507,0.262365,26.61486861472384,0.230513,11.243394541900917,0.23594,13.862413435320804,0.256854,23.955312115435664,0.219004,5.689259947397627
0.34,0.149779,0.217764,45.39020824014049,0.2213,47.75101983589155,0.224797,50.08579306845419,0.228525,52.57479352913293,0.232176,55.01238491377296,0.23588,57.48536176633574,0.239624,59.98504463242511,0.243392,62.50075110663044,0.258967,72.8994051235487,0.255067,70.2955688047056,0.203345,35.76335801414084,0.199184,32.985264957036705,0.177718,18.65348279798903,0.180664,20.62038069422282,0.199803,33.39854051636078,0.169281,13.0205168948918
0.36,0.130827,0.211158,61.40246279437732,0.214863,64.23444701781742,0.218518,67.0282128306848,0.222404,69.99854770039823,0.226199,72.8993250628693,0.230042,75.83679209949017,0.233918,78.79948328708905,0.237812,81.77593310249414,0.21966,67.9011213281662,0.217226,66.04064910148517,0.176733,35.08908711504506,0.163908,25.286064803136966,0.151746,15.989818615423419,0.166589,27.335335978047336,0.175176,33.8989658098099,0.150588,15.10468022655874
0.38,0.135367,0.212673,57.108453315800766,0.216339,59.816646597767566,0.219957,62.48938072055969,0.223807,65.33350077936278,0.227569,68.11261237967896,0.231381,70.92866060413544,0.235226,73.76908700052451,0.239091,76.62428804656972,0.215823,59.43546063663966,0.205818,52.04444214616563,0.176987,30.746045934385798,0.152112,12.370075424586503,0.145744,7.665826974077897,0.1723,27.283606787474067,0.171369,26.595846845981676,0.146098,7.927338272991216
0.4,0.135322,0.212731,57.2035589187272,0.216396,59.911913805589634,0.220013,62.5847977416828,0.223861,65.42838562835311,0.227622,68.20768241675411,0.231432,71.02318913406542,0.235277,73.86456008631264,0.23914,76.71923264509836,0.218664,61.58791622943794,0.198615,46.772143479995876,0.18712,38.27758974889524,0.148903,10.036062133282105,0.145987,7.881201874048571,0.171487,26.725144470226574,0.167482,23.76553701541508,0.137346,1.4956917574378135
0.42,0.119266,0.207291,73.80561098720507,0.211097,76.99679707544482,0.214843,80.1376754481579,0.218821,83.47307698757399,0.222701,86.7263092582966,0.226625,90.0164338537387,0.230579,93.331712306944155,0.234546,96.65789076518037,0.21222,77.93838981771837,0.190606,59.81587376117251,0.188325,57.90334210923481,0.141872,18.95427028658629,0.14223,19.254439655895226,0.155648,30.504921771502367,0.152018,27.461304982140756,0.122652,2.839032079553268
0.44,0.097624,0.199794,104.65664180939113,0.203792,108.7519462427272,0.207717,112.77247398180776,0.211874,117.03064820126198,0.215918,121.1730721953618,0.22,125.35442104400556,0.224103,129.55728099647627,0.228214,133.76833565516674,0.201868,106.7811193968696,0.186992,91.54306318118493,0.174694,78.94575104482503,0.128764,31.8978939605015,0.133478,36.72662460050808,0.135719,39.02216668032452,0.131236,34.43005818241415,0.112654,15.395804310415473
0.46,0.081951,0.19426,137.044087320472,0.1984,142.09588656636282,0.202458,147.04762602042683,0.206746,152.28002098815148,0.210912,157.36354650949957,0.215109,162.4848995131237,0.219324,167.62821686129516,0.22354,172.77275445083038,0.197253,140.69626972215104,0.185149,125.92646825542096,0.157671,92.39667606252519,0.115463,40.89272858171347,0.124679,52.13847298995742,0.12338,50.553379458456895,0.116029,41.58338519359129,0.110899,35.323546997596125
0.48,0.073578,0.191293,159.98668080132646,0.19551,165.71801353665495,0.199637,171.327027100492,0.203997,177.2527114083014,0.208228,183.00307157030633,0.212487,188.7914865856642,0.216761,194.60028812960394,0.221034,200.40773057163824,0.197671,168.65503275435591,0.178957,143.22079969556117,0.149082,102.61763026991761,0.108168,47.01133490989153,0.11994,63.010682540976916,0.118288,60.76544619315556,0.109229,48.45334203158553,0.110614,50.33569817064883
0.5,0.069359,0.189866,173.74385443850113,0.19412,179.87716085872054,0.198281,185.8763823007829,0.202675,192.2115370752173,0.206937,198.3563776871062,0.211227,204.54158796983805,0.215529,210.7440995400741,0.219829,216.94372756239275,0.196823,183.77427586902922,0.170527,145.86138785161262,0.146841,111.71152986634753,0.106958,54.20925907236263,0.119222,71.8911749015989,0.114397,64.9346155509739,0.107727,55.3179832465866,0.107207,54.56826078807363
